ask,bid,due,emittent,ratio,strike,wkn,wkn_link
0.57,0.55,17.06.2019,CITI,1.0,14.5,CY8M2V,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY8M2V
0.5,0.49,17.06.2019,UBS,1.0,14.6,UV5G35,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5G35
0.56,0.54,17.06.2019,CITI,1.0,14.6,CQ4075,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4075
0.15,0.14,15.10.2018,UBS,1.0,14.6,UV45XB,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV45XB
0.39,0.37,13.03.2019,HypoVereinsbank/UniCredit,1.0,14.6,HW9EDQ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW9EDQ
0.24,0.23,17.12.2018,UBS,1.0,14.6,UV469E,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV469E
0.18,0.14,21.06.2019,Raiffeisen Centrobank AG,0.1,14.5,RC0M4A,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/RC0M4A
0.72,0.71,16.12.2019,UBS,1.0,14.6,UV5MVX,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5MVX
0.28,0.27,21.12.2018,DZ Bank AG,1.0,14.5,DD0KYT,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD0KYT
0.52,0.51,21.06.2019,DZ Bank AG,1.0,14.5,DD0KZE,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD0KZE
0.8,0.78,16.12.2019,CITI,1.0,14.7,CQ40E7,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ40E7
0.27,0.25,17.12.2018,CITI,1.0,14.6,CQ4V97,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V97
0.031,0.021,17.12.2018,CITI,0.1,14.6,CQ4V98,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V98
0.4,0.38,11.03.2019,CITI,1.0,14.6,CQ4V9V,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9V
0.36,0.35,11.03.2019,UBS,1.0,14.6,UV5CPC,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5CPC
0.028,0.018,17.12.2018,UBS,0.1,14.6,UW8T7B,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW8T7B
0.082,0.072,16.12.2019,CITI,0.1,14.6,CQ40E5,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ40E5
0.81,0.79,18.12.2019,Société Générale S.A.,1.0,14.6,SC97XE,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC97XE
0.056,0.046,17.06.2019,CITI,0.1,14.6,CQ4074,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4074
0.19,0.18,12.11.2018,UBS,1.0,14.6,UV46XX,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV46XX
0.02,0.01,15.10.2018,UBS,0.1,14.6,UV06LU,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV06LU
0.65,0.63,18.09.2019,Société Générale S.A.,1.0,14.6,SC64SX,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC64SX
0.27,0.25,19.12.2018,Société Générale S.A.,1.0,14.6,SC4W0V,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC4W0V
0.023,0.013,12.11.2018,UBS,0.1,14.6,UV06R2,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV06R2
0.79,0.77,18.12.2019,Société Générale S.A.,1.0,14.7,SC97XF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC97XF
0.75,0.73,18.12.2019,HypoVereinsbank/UniCredit,1.0,14.6,HW8XKL,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW8XKL
0.42,0.41,15.04.2019,UBS,1.0,14.6,UV5F3B,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5F3B
0.4,0.38,13.03.2019,Société Générale S.A.,1.0,14.6,SC2EZN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC2EZN
0.54,0.5,19.06.2019,Morgan Stanley & Co. International plc,1.0,14.5,MF48HA,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/MF48HA
0.31,0.3,11.02.2019,UBS,1.0,14.6,UV444J,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV444J
0.82,0.8,16.12.2019,CITI,1.0,14.6,CQ40E4,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ40E4
0.037,0.027,11.02.2019,UBS,0.1,14.5,UV6KKR,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6KKR
0.53,0.51,19.06.2019,Société Générale S.A.,1.0,14.6,SC300F,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC300F
0.84,0.82,16.12.2019,CITI,1.0,14.5,CQ0HZN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ0HZN
0.55,0.53,19.06.2019,Société Générale S.A.,1.0,14.5,SC300E,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC300E
0.52,0.39,13.03.2019,Deutsche Bank,1.0,14.5,DM8VZL,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DM8VZL
0.081,0.065,18.09.2019,HSBC,0.1,14.5,TR0C2F,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR0C2F
0.63,0.61,18.09.2019,Société Générale S.A.,1.0,14.7,SC64SY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC64SY
0.28,0.24,19.12.2018,Morgan Stanley & Co. International plc,1.0,14.5,MF2YY4,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/MF2YY4
0.0,0.09,15.06.2020,UBS,0.1,14.5,UW9Z2G,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW9Z2G
0.084,0.074,16.12.2019,CITI,0.1,14.5,CQ0HZP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ0HZP
0.38,0.36,13.03.2019,Société Générale S.A.,1.0,14.7,SC2EZP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC2EZP
0.51,0.5,19.06.2019,HypoVereinsbank/UniCredit,1.0,14.6,HW73EY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW73EY
0.036,0.026,11.02.2019,UBS,0.1,14.6,UV6PP0,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6PP0
0.04,0.03,11.03.2019,UBS,0.1,14.6,UV6FHX,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6FHX
0.26,0.24,19.12.2018,Société Générale S.A.,1.0,14.7,SC4W0W,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC4W0W
0.46,0.45,13.05.2019,UBS,1.0,14.6,UV5FWT,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5FWT
0.51,0.49,19.06.2019,Société Générale S.A.,1.0,14.7,SC300G,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC300G
0.068,0.058,16.09.2019,CITI,0.1,14.6,CQ4083,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4083
0.27,0.26,14.01.2019,UBS,1.0,14.6,UV49PZ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV49PZ
0.25,0.24,17.12.2018,UBS,1.0,14.5,UV5A0V,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5A0V
0.042,0.032,11.03.2019,CITI,0.1,14.6,CQ4V9W,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9W
0.61,0.6,16.09.2019,UBS,1.0,14.6,UV5GYX,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5GYX
0.42,0.4,11.03.2019,CITI,1.0,14.5,CQ4V9U,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ4V9U
0.4,0.39,15.03.2019,DZ Bank AG,1.0,14.5,DD0KY3,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD0KY3
0.033,0.023,17.12.2018,CITI,0.1,14.5,CY3QW4,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY3QW4
