ask,bid,due,emittent,ratio,strike,wkn,wkn_link,yr,yr2,yr4
1.56,1.54,13.03.2019,HypoVereinsbank/UniCredit,1.0,10.8,HX15EM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX15EM,12.360000000000001,13.920000000000002,17.04

0.13,0.12,12.11.2018,UBS,0.1,10.8,UV5052,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5052,12.100000000000001,13.4,16.0

0.15,0.14,14.01.2019,UBS,0.1,10.8,UV52VY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV52VY,12.3,13.8,16.8

0.13,0.12,15.10.2018,UBS,0.1,10.8,UV6ABX,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6ABX,12.100000000000001,13.4,16.0

1.51,1.49,19.06.2019,HypoVereinsbank/UniCredit,1.0,11.2,HX0XMB,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX0XMB,12.709999999999999,14.219999999999999,17.24

0.14,0.13,11.03.2019,UBS,0.1,11.2,UV6KL3,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6KL3,12.6,14.0,16.8

0.13,0.12,11.02.2019,UBS,0.1,11.2,UV6JJY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6JJY,12.5,13.799999999999999,16.4

0.11,0.1,12.11.2018,UBS,0.1,11.2,UV57ZG,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV57ZG,12.299999999999999,13.399999999999999,15.599999999999998

0.16,0.15,11.03.2019,UBS,0.1,10.8,UV6SRQ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6SRQ,12.4,14.0,17.2

0.14,0.13,17.12.2018,UBS,0.1,10.8,UV504P,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV504P,12.200000000000001,13.600000000000001,16.400000000000002

0.11,0.096,15.10.2018,UBS,0.1,11.2,UV54J5,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV54J5,12.299999999999999,13.399999999999999,15.599999999999998

0.14,0.13,17.12.2018,CITI,0.112,11.16,CX4XYN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX4XYN,12.41,13.66,16.16

1.74,1.73,20.09.2019,DZ Bank AG,1.0,11.0,DD6CJC,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD6CJC,12.74,14.48,17.96

1.46,1.45,15.03.2019,DZ Bank AG,1.0,11.0,DD6CJA,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD6CJA,12.46,13.92,16.84

0.22,0.2,17.06.2020,HSBC,0.1,11.0,TR25T8,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25T8,13.2,15.399999999999999,19.799999999999997

0.14,0.13,10.12.2018,UBS,0.112,11.16,UW172C,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW172C,12.41,13.66,16.16

1.61,1.6,21.06.2019,DZ Bank AG,1.0,11.0,DD6CJB,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD6CJB,12.61,14.22,17.44

1.5,1.47,15.03.2019,Vontobel Financial Products GmbH,1.0,11.0,VL9S19,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/VL9S19,12.5,14.0,17.0

0.15,0.14,11.02.2019,UBS,0.1,10.8,UV6KKD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6KKD,12.3,13.8,16.8

1.28,1.27,21.12.2018,DZ Bank AG,1.0,11.0,DD6CH9,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD6CH9,12.28,13.56,16.12

0.18,0.16,19.06.2019,HSBC,0.1,11.0,TR25SZ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25SZ,12.8,14.6,18.2

0.21,0.19,18.12.2019,HSBC,0.1,11.0,TR25T3,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25T3,13.1,15.2,19.4

1.87,1.85,20.12.2019,DZ Bank AG,1.0,11.0,DD6CJD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD6CJD,12.870000000000001,14.74,18.48

0.17,0.16,17.06.2019,UBS,0.1,11.0,UV6RMK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6RMK,12.7,14.4,17.8

0.12,0.11,15.10.2018,UBS,0.1,11.0,UV53DY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV53DY,12.2,13.4,15.8

0.19,0.18,16.12.2019,UBS,0.1,11.0,UV6KL2,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6KL2,12.9,14.8,18.6

1.33,1.3,21.12.2018,Vontobel Financial Products GmbH,1.0,11.0,VL9S15,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/VL9S15,12.33,13.66,16.32

