ask,bid,due,emittent,ratio,strike,wkn,wkn_link
1.0,0.96,21.12.2018,BNP Paribas,1.0,14.5,PR5K43,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PR5K43
0.23,0.22,14.12.2020,UBS,0.1,14.5,UW8EEB,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW8EEB
1.55,1.53,20.09.2019,DZ Bank AG,1.0,14.5,DD1555,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD1555
1.48,1.4,17.06.2019,CITI,1.0,14.5,CY8M2V,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CY8M2V
1.35,1.27,17.06.2019,CITI,1.0,14.9,CQ315W,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ315W
1.37,1.35,21.06.2019,DZ Bank AG,1.0,14.5,DD0KZE,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD0KZE
1.41,1.39,19.06.2019,Société Générale S.A.,1.0,14.5,SC300E,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC300E
0.1,0.093,17.12.2018,UBS,0.1,14.5,UW7FUZ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW7FUZ
0.093,0.083,17.12.2018,UBS,0.1,14.8,UW63EN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW63EN
1.16,1.14,13.03.2019,HypoVereinsbank/UniCredit,1.0,14.6,HW9EDQ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW9EDQ
0.1,0.09,17.12.2018,UBS,0.1,14.6,UW8T7B,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW8T7B
1.71,1.63,16.12.2019,CITI,1.0,14.9,CQ3167,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ3167
1.3,1.28,19.06.2019,Société Générale S.A.,1.0,14.8,SC300H,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC300H
1.0,0.96,18.12.2018,BNP Paribas,1.0,14.5,PP0BXK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP0BXK
1.05,1.03,19.12.2018,Société Générale S.A.,1.0,14.4,SC4W0T,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC4W0T
0.16,0.14,19.06.2019,HSBC,0.1,14.5,TD9P4M,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD9P4M
0.92,0.9,19.12.2018,Société Générale S.A.,1.0,14.8,SC4W0X,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC4W0X
1.12,1.1,13.03.2019,Société Générale S.A.,1.0,14.8,SC2EZQ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC2EZQ
1.01,0.99,19.12.2018,Société Générale S.A.,1.0,14.5,SC4W0U,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC4W0U
1.67,1.65,18.12.2019,HypoVereinsbank/UniCredit,1.0,14.6,HW8XKL,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW8XKL
0.07,0.06,15.10.2018,UBS,0.1,15.0,UV0YEH,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV0YEH
0.9,0.88,19.12.2018,HypoVereinsbank/UniCredit,1.0,14.8,HW46ZK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW46ZK
1.62,1.6,18.09.2019,Société Générale S.A.,1.0,14.6,SC64SX,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC64SX
1.34,1.32,19.06.2019,HypoVereinsbank/UniCredit,1.0,14.6,HW73EY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW73EY
0.77,0.75,19.12.2018,Société Générale S.A.,1.0,15.3,SC4W01,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC4W01
0.12,0.1,13.03.2019,HSBC,0.1,15.0,TD8Q4C,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD8Q4C
0.0,0.0,21.06.2019,Raiffeisen Centrobank AG,0.1,14.5,RC0M4A,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/RC0M4A
0.092,0.076,19.12.2018,HSBC,0.112,15.17,TD5GGZ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD5GGZ
1.54,1.52,18.12.2019,HypoVereinsbank/UniCredit,1.0,15.0,HW8YC4,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW8YC4
0.11,0.09,15.03.2019,DZ Bank AG,0.1,15.0,DGV7DH,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DGV7DH
0.84,0.82,19.12.2018,HypoVereinsbank/UniCredit,1.0,15.0,HW3672,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW3672
1.61,1.53,16.12.2019,CITI,1.0,15.2,CQ18U5,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ18U5
